epoch,iteration_in_epoch,global_iteration,reward,rolling_reward_5
epoch,iteration_in_epoch,global_iteration,reward,rolling_reward_5
epoch,iteration_in_epoch,global_iteration,reward,rolling_reward_5
epoch,iteration_in_epoch,global_iteration,reward,rolling_reward_5
1,1,1,3.15137291,3.15137291
1,1,1,3.15137291,3.15137291
1,1,1,3.15137291,3.15137291
1,1,1,3.15137291,3.15137291
1,2,2,3.04510283,3.09823787
1,2,2,3.04510283,3.09823787
1,2,2,3.04510283,3.09823787
1,2,2,3.04510283,3.09823787
1,3,3,1.35571337,2.51739637
1,3,3,1.35571337,2.51739637
1,3,3,1.35571337,2.51739637
1,3,3,1.35571337,2.51739637
1,4,4,1.53665793,2.27221176
1,4,4,1.53665793,2.27221176
1,4,4,1.53665793,2.27221176
1,4,4,1.53665793,2.27221176
1,5,5,1.99382579,2.21653457
1,5,5,1.99382579,2.21653457
1,5,5,1.99382579,2.21653457
1,5,5,1.99382579,2.21653457
1,6,6,1.52960765,1.89218152
1,6,6,1.52960765,1.89218152
1,6,6,1.52960765,1.89218152
1,6,6,1.52960765,1.89218152
1,7,7,0.36862004,1.35688496
1,7,7,0.36862004,1.35688496
1,7,7,0.36862004,1.35688496
1,7,7,0.36862004,1.35688496
1,8,8,0.31841743,1.14942577
1,8,8,0.31841743,1.14942577
1,8,8,0.31841743,1.14942577
1,8,8,0.31841743,1.14942577
1,9,9,1.36955130,1.11600444
1,9,9,1.36955130,1.11600444
1,9,9,1.36955130,1.11600444
1,9,9,1.36955130,1.11600444
1,10,10,-0.14935419,0.68736845
1,10,10,-0.14935419,0.68736845
1,10,10,-0.14935419,0.68736845
1,10,10,-0.14935419,0.68736845
1,11,11,2.48118472,0.87768386
1,11,11,2.48118472,0.87768386
1,11,11,2.48118472,0.87768386
1,11,11,2.48118472,0.87768386
1,12,12,1.94319117,1.19259809
1,12,12,1.94319117,1.19259809
1,12,12,1.94319117,1.19259809
1,12,12,1.94319117,1.19259809
1,13,13,1.18746233,1.36640707
1,13,13,1.18746233,1.36640707
1,13,13,1.18746233,1.36640707
1,13,13,1.18746233,1.36640707
2,1,14,2.48456383,1.58940957
2,1,14,2.48456383,1.58940957
2,1,14,2.48456383,1.58940957
2,1,14,2.48456383,1.58940957
2,2,15,-0.49377143,1.52052612
2,2,15,-0.49377143,1.52052612
2,2,15,-0.49377143,1.52052612
2,2,15,-0.49377143,1.52052612
2,3,16,0.27122492,1.07853416
2,3,16,0.27122492,1.07853416
2,3,16,0.27122492,1.07853416
2,3,16,0.27122492,1.07853416
2,4,17,1.21397448,0.93269082
2,4,17,1.21397448,0.93269082
2,4,17,1.21397448,0.93269082
2,4,17,1.21397448,0.93269082
2,5,18,2.04499578,1.10419751
2,5,18,2.04499578,1.10419751
2,5,18,2.04499578,1.10419751
2,5,18,2.04499578,1.10419751
2,6,19,2.03325081,1.01393491
2,6,19,2.03325081,1.01393491
2,6,19,2.03325081,1.01393491
2,6,19,2.03325081,1.01393491
2,7,20,2.56743479,1.62617615
2,7,20,2.56743479,1.62617615
2,7,20,2.56743479,1.62617615
2,7,20,2.56743479,1.62617615
2,8,21,0.92665833,1.75726284
2,8,21,0.92665833,1.75726284
2,8,21,0.92665833,1.75726284
2,8,21,0.92665833,1.75726284
